date,prev_close,open,high,low,close,volume,value
20170105,6394.6694,6391.5838,6412.8739,6385.1212,6399.2841,6103462100,71717018000.0
20170106,6399.2841,6398.8633,6401.7389,6364.8875,6371.6168,6446654400,73153716500.0
20170109,6371.6168,6365.3886,6415.4682,6357.3566,6415.4176,6357871300,73799258700.0
20170110,6415.4176,6412.7619,6428.834,6388.9201,6393.9283,6819754300,76700617200.0
20170111,6393.9283,6381.7048,6402.8989,6331.5065,6331.9638,6244563200,67855247500.0
20170112,6331.9638,6325.6232,6339.3218,6269.199,6272.851,5342577200,57244347500.0
20170113,6272.851,6272.7899,6282.7162,6182.1048,6194.6575,5321403900,57975492900.0
20170116,6194.6575,6184.1292,6184.3369,5872.3953,6031.2414,7895834800,82148409400.0
20170117,6031.2414,6006.0795,6082.2006,5957.0439,6082.0657,5018193500,53610292900.0
20170118,6082.0657,6067.1677,6098.7843,6049.9691,6068.593,4581549500,48050490500.0
20170119,6068.593,6054.7251,6074.4639,6029.6401,6043.675,4409245200,45492604300.0
20170120,6043.675,6037.5604,6129.5799,6034.9691,6121.9983,4533848300,48579382300.0
20170123,6121.9983,6130.4404,6189.1736,6130.1951,6172.1671,5004992700,52340894600.0
20170124,6172.1671,6167.8403,6177.2076,6154.0678,6165.2642,4974720700,49149783600.0
20170125,6165.2642,6156.7761,6187.4333,6152.1441,6179.5681,4263920900,43355935700.0
20170126,6179.5681,6183.1588,6224.1897,6183.1588,6223.7061,4008691700,41425298000.0
20170203,6223.7061,6227.4615,6231.6039,6190.8278,6207.0921,3528923400,37636977200.0
20170206,6207.0921,6206.5352,6259.4103,6195.4953,6259.2471,4532376600,49551549900.0
20170207,6259.2471,6254.2002,6269.4606,6223.5399,6255.927,5052771800,53518570000.0
20170208,6255.927,6248.4708,6291.7658,6219.0209,6291.5977,5388026000,57733014200.0
20170209,6291.5977,6288.8842,6331.3294,6285.7284,6331.1771,7230630600,74418436100.0
20170210,6331.1771,6329.6825,6350.3394,6320.2482,6337.1081,8896532200,86741398300.0
20170213,6337.1081,6341.7267,6370.2071,6331.9619,6369.6526,8375603200,84610466900.0
20170214,6369.6526,6366.937,6378.0622,6346.5932,6374.8852,7564684600,75379900100.0
20170215,6374.8852,6367.6437,6379.7876,6301.0125,6311.6959,8353054300,84155744400.0
20170216,6311.6959,6308.3181,6363.8696,6306.5107,6359.3361,7464893500,75298270100.0
20170217,6359.3361,6356.0922,6365.6958,6300.51,6307.1627,7862344800,80176399200.0
20170220,6307.1627,6307.2342,6385.0625,6307.2342,6385.0625,7358843700,79678756400.0
20170221,6385.0625,6390.508,6434.5346,6386.904,6434.4383,7887778900,86190525100.0
20170222,6434.4383,6432.7507,6474.4899,6431.4088,6474.225,8696387400,94925335900.0
20170223,6474.225,6470.617,6482.2481,6435.7455,6473.993,8873376700,98490939400.0
20170224,6473.993,6466.1821,6477.4217,6445.0669,6476.1655,7564140000,84708622600.0
20170227,6476.1655,6476.376,6480.1867,6417.7848,6424.2549,7224501000,81011815100.0
20170228,6424.2549,6424.9954,6451.2916,6414.7839,6450.9701,6245564900,70477307500.0
20170301,6450.9701,6446.4356,6488.8245,6440.8074,6467.6385,7204876300,82654741500.0
20170302,6467.6385,6476.1055,6484.1156,6431.4355,6434.6262,7155684800,83457637700.0
20170303,6434.6262,6417.3888,6457.228,6398.8848,6452.839,6471211100,78162789000.0
20170306,6452.839,6457.5928,6518.0421,6457.5928,6517.3235,6675257200,83200756700.0
20170307,6517.3235,6517.8451,6523.3598,6491.2635,6523.1868,6799378600,81647419200.0
20170308,6523.1868,6519.9741,6525.1932,6478.5482,6497.0878,6263991500,74492007500.0
20170309,6497.0878,6484.5815,6484.8275,6425.0028,6439.3822,6377153300,73377240600.0
20170310,6439.3822,6436.7583,6464.6026,6436.6388,6447.9165,5586311500,69354837100.0
20170313,6447.9165,6444.5584,6508.0665,6412.708,6507.8964,6436743500,80493162700.0
20170314,6507.8964,6508.369,6518.7786,6480.0806,6493.4846,5982573200,73971730800.0
20170315,6493.4846,6486.3,6499.5423,6471.7207,6486.0616,5527589900,68488487400.0
20170316,6486.0616,6499.8323,6543.3407,6499.8323,6543.3407,6814994900,84149888900.0
20170317,6543.3407,6543.5573,6555.5786,6480.2914,6483.2463,7303663700,89870080800.0
20170320,6483.2463,6484.5404,6498.5658,6451.354,6498.3416,6121289100,75767004000.0
20170321,6498.3416,6494.7728,6516.0101,6484.687,6515.9458,5899504200,75784024700.0
20170322,6515.9458,6486.3011,6514.6285,6459.975,6499.7928,7178630200,87682634000.0
20170323,6499.7928,6502.1273,6533.6523,6445.8112,6512.1874,7641711100,95012011600.0
20170324,6512.1874,6509.2327,6552.7481,6500.0657,6546.615,8348921500,99671258300.0
20170327,6546.615,6545.4462,6555.7939,6510.4398,6516.0326,7708498200,91084732500.0
20170328,6516.0326,6509.0377,6519.0858,6483.6403,6498.6902,6085624200,74015274600.0
20170329,6498.6902,6504.2455,6522.5117,6461.5358,6480.543,8560811000,94133990300.0
20170330,6480.543,6467.063,6471.935,6369.1202,6375.7437,9650458700,102545123400.0
20170331,6375.7437,6374.565,6402.2179,6365.4474,6401.6479,7207659200,81859225500.0
20170405,6401.6479,6450.8955,6539.9665,6450.8955,6539.9665,9651613400,109618959800.0
20170406,6539.9665,6554.7454,6569.7021,6535.0376,6559.6526,9746968300,106534021500.0
20170407,6559.6526,6554.2567,6593.949,6544.2362,6578.726,9995592900,114404499700.0
20170410,6578.726,6575.4597,6595.1986,6556.0781,6566.5441,10252932300,117949775700.0
20170411,6566.5441,6566.84,6631.9963,6531.5307,6629.1661,12694082500,147245647000.0
20170412,6629.1661,6625.8795,6626.761,6571.4755,6576.4761,11417302700,125634063300.0
20170413,6576.4761,6569.2398,6627.702,6562.7621,6615.7042,8719152200,95057722700.0
20170414,6615.7042,6623.4544,6623.8014,6522.7905,6528.1624,9683921400,106720536500.0
20170417,6528.1624,6500.9489,6502.036,6426.2797,6456.598,8708447800,98756853100.0
20170418,6456.598,6452.918,6491.8082,6416.1723,6418.2114,8017130800,91393684300.0
20170419,6418.2114,6390.3311,6401.4112,6285.9903,6350.6465,8647624400,94925073300.0
20170420,6350.6465,6349.4075,6377.8003,6299.8941,6347.7732,7917415700,92055492600.0
20170421,6347.7732,6345.7705,6364.6737,6296.8103,6300.7128,6043113000,71653209800.0
20170424,6300.7128,6282.331,6282.7398,6137.9201,6138.5049,7024675300,77999737300.0
20170425,6138.5049,6139.4842,6203.6818,6131.9512,6160.4612,6423767200,73210950900.0
20170426,6160.4612,6159.8926,6195.3247,6157.3991,6176.3981,6973758000,81416636400.0
20170427,6176.3981,6157.5184,6205.2293,6052.8806,6192.3044,8881106200,100994818100.0
20170428,6192.3044,6174.142,6214.1617,6166.7979,6211.8624,6627518800,76101149500.0
20170502,6211.8624,6205.1005,6216.4949,6186.1678,6216.115,7028900300,83553106400.0
20170503,6216.115,6205.6817,6225.6265,6174.6918,6197.4779,7200806300,84979958900.0
